id;titre;description;domaines;mots_cles;context;profil_recherchees;annee;reference;candidatures;coencadrent
1;deliver Licensed;Frozen Handcrafted application;Practical synergize;microchip;Panoramas;Champagne-Ardenne grey a;63042;Luxembourg;neural;Victoire
2;Enterprise-wide;optical;architect Saint-Denis;Alsace;Metal;Manager salmon Sri;53534;Auvergne Salvador;24/7 Chips relationships;system Computer c
3;Soft Bangladesh;parsing Haute-Normandie payment;Tunisie;Bedfordshire Chair Cheese;brand Uruguay;Account c;20999;Saint-Marin Business-focused;Rupiah;Salad Awesome Customizable
4;Avon;Shoes;Books;matrix intermediate;benchmark system Table;Vision-oriented;6466;Analyste;b;gold
5;Belgique transmitter Directeur;Chair dot-com Ameliorated;capability invoice explicit;Generic Intuitive Executif;withdrawal;virtual;88141;Franc Aquitaine;neural-net parsing;c
6;Rivoli Trinité-et-Tobago aggregate;Cotton;Ball Assistant;payment Automotive;reintermediate;Vision-oriented Granite;30132;wireless GB;distributed;SQL
7;Boétie back-end Car;mobile Île-de-France strategy;navigate;turquoise Music a;evolve Exclusive;Chair;63695;b azure;a;leading-edge c
8;actuating Savings out-of-the-box;algorithm;Tasty up;b a mobile;online Cambridgeshire one-to-one;Croatie Account;92895;Multi-layered parsing synergize;microchip transmitter Money;Centre alarm dot-com
9;Account moderator Rustic;Frozen;intuitive interactive;distributed;eco-centric Movies HTTP;Iran Avon;64760;a;c;sensor Wooden
10;24/365 Account radical;connecting Analyste b;front-end internet;navigate transmitting;Pants firewall;matrix Handmade;44362;holistic Total plum;harness Saint-Dominique;deposit
